repo,url,decision,reason,diskUsage,isArchived,notion_matched
doyle-electrical-contracting-preview-4pyn,https://github.com/nsheetzdesign/doyle-electrical-contracting-preview-4pyn,DELETE,preview-style name (generated site),21,False,
doyle-electrical-contracting-preview-wnuc,https://github.com/nsheetzdesign/doyle-electrical-contracting-preview-wnuc,DELETE,preview-style name (generated site),0,False,
e-t-landscaping-preview-8gij,https://github.com/nsheetzdesign/e-t-landscaping-preview-8gij,DELETE,preview-style name (generated site),3,False,
easy-call-plumbing-preview-03qk,https://github.com/nsheetzdesign/easy-call-plumbing-preview-03qk,DELETE,preview-style name (generated site),0,False,
edison-electricians-of-naperville-preview-l1ph,https://github.com/nsheetzdesign/edison-electricians-of-naperville-preview-l1ph,DELETE,preview-style name (generated site),24,False,
electrician-s-precision-pros-preview-ajzn,https://github.com/nsheetzdesign/electrician-s-precision-pros-preview-ajzn,DELETE,preview-style name (generated site),0,False,
electricians-precision-pros-preview-0975,https://github.com/nsheetzdesign/electricians-precision-pros-preview-0975,DELETE,preview-style name (generated site),21,False,
elite-heating-and-cooling-llc-preview-ne3u,https://github.com/nsheetzdesign/elite-heating-and-cooling-llc-preview-ne3u,DELETE,preview-style name (generated site),21,False,
elite-heating-and-cooling-llc-preview-poqj,https://github.com/nsheetzdesign/elite-heating-and-cooling-llc-preview-poqj,DELETE,preview-style name (generated site),3,False,
ellyn-cleaners-preview-avo1,https://github.com/nsheetzdesign/ellyn-cleaners-preview-avo1,DELETE,preview-style name (generated site),24,False,
elmhurst-electrical-preview-otp7,https://github.com/nsheetzdesign/elmhurst-electrical-preview-otp7,DELETE,preview-style name (generated site),21,False,
elmhurst-electrical-preview-r0oq,https://github.com/nsheetzdesign/elmhurst-electrical-preview-r0oq,DELETE,preview-style name (generated site),3,False,
elmwood-cleaning-corp-preview-ol1p,https://github.com/nsheetzdesign/elmwood-cleaning-corp-preview-ol1p,DELETE,preview-style name (generated site),25,False,
emmett-s-speedy-plumbing-company-preview-7wjh,https://github.com/nsheetzdesign/emmett-s-speedy-plumbing-company-preview-7wjh,DELETE,preview-style name (generated site),3,False,
emmetts-speedy-plumbing-company-preview-va78,https://github.com/nsheetzdesign/emmetts-speedy-plumbing-company-preview-va78,DELETE,preview-style name (generated site),21,False,
empire-tree-services-preview-bn4p,https://github.com/nsheetzdesign/empire-tree-services-preview-bn4p,DELETE,preview-style name (generated site),24,False,
equinox-roofing-preview-527q,https://github.com/nsheetzdesign/equinox-roofing-preview-527q,DELETE,preview-style name (generated site),21,False,
equinox-roofing-preview-iuds,https://github.com/nsheetzdesign/equinox-roofing-preview-iuds,DELETE,preview-style name (generated site),0,False,
eurotech-service-inc-preview-dohd,https://github.com/nsheetzdesign/eurotech-service-inc-preview-dohd,DELETE,preview-style name (generated site),25,False,
everservice-preview-tfpx,https://github.com/nsheetzdesign/everservice-preview-tfpx,DELETE,preview-style name (generated site),0,False,
excel-home-exteriors-inc-preview-gx1k,https://github.com/nsheetzdesign/excel-home-exteriors-inc-preview-gx1k,DELETE,preview-style name (generated site),3,False,
excellent-electric-preview-jotw,https://github.com/nsheetzdesign/excellent-electric-preview-jotw,DELETE,preview-style name (generated site),21,False,
excellent-electric-preview-rfrb,https://github.com/nsheetzdesign/excellent-electric-preview-rfrb,DELETE,preview-style name (generated site),3,False,
expert-house-cleaning-preview-0xk0,https://github.com/nsheetzdesign/expert-house-cleaning-preview-0xk0,DELETE,preview-style name (generated site),3,False,
expert-house-cleaning-preview-8ctq,https://github.com/nsheetzdesign/expert-house-cleaning-preview-8ctq,DELETE,preview-style name (generated site),21,False,
extreme-auto-care-preview-jzz2,https://github.com/nsheetzdesign/extreme-auto-care-preview-jzz2,DELETE,preview-style name (generated site),0,False,
fahrenheit-mechanical-preview-vb5h,https://github.com/nsheetzdesign/fahrenheit-mechanical-preview-vb5h,DELETE,preview-style name (generated site),0,False,
fam-build-handyman-preview-hncx,https://github.com/nsheetzdesign/fam-build-handyman-preview-hncx,DELETE,preview-style name (generated site),25,False,
fb-landscaping-llc-preview-0s7m,https://github.com/nsheetzdesign/fb-landscaping-llc-preview-0s7m,DELETE,preview-style name (generated site),21,False,
fb-landscaping-llc-preview-6s6n,https://github.com/nsheetzdesign/fb-landscaping-llc-preview-6s6n,DELETE,preview-style name (generated site),3,False,
fernandez-tree-service-inc-preview-9ipq,https://github.com/nsheetzdesign/fernandez-tree-service-inc-preview-9ipq,DELETE,preview-style name (generated site),21,False,
fernandez-tree-service-inc-preview-y5uw,https://github.com/nsheetzdesign/fernandez-tree-service-inc-preview-y5uw,DELETE,preview-style name (generated site),3,False,
fix-all-home-repair-remodeling-preview-96f7,https://github.com/nsheetzdesign/fix-all-home-repair-remodeling-preview-96f7,DELETE,preview-style name (generated site),0,False,
fix-all-home-repair-remodeling-preview-gw8b,https://github.com/nsheetzdesign/fix-all-home-repair-remodeling-preview-gw8b,DELETE,preview-style name (generated site),21,False,
francis-heating-and-cooling-service-preview-6ojb,https://github.com/nsheetzdesign/francis-heating-and-cooling-service-preview-6ojb,DELETE,preview-style name (generated site),4,False,
francis-heating-and-cooling-service-preview-816p,https://github.com/nsheetzdesign/francis-heating-and-cooling-service-preview-816p,DELETE,preview-style name (generated site),3,False,
frontier-heating-and-cooling-services-ll-preview-z26b,https://github.com/nsheetzdesign/frontier-heating-and-cooling-services-ll-preview-z26b,DELETE,preview-style name (generated site),21,False,
frontier-heating-and-cooling-services-llc-preview-zr4f,https://github.com/nsheetzdesign/frontier-heating-and-cooling-services-llc-preview-zr4f,DELETE,preview-style name (generated site),3,False,
garcia-s-project-landscape-hardscape-construction-preview-6mru,https://github.com/nsheetzdesign/garcia-s-project-landscape-hardscape-construction-preview-6mru,DELETE,preview-style name (generated site),0,False,
glass-grass-landscaping-preview-6be4,https://github.com/nsheetzdesign/glass-grass-landscaping-preview-6be4,DELETE,preview-style name (generated site),3,False,
glass-grass-landscaping-preview-ui3b,https://github.com/nsheetzdesign/glass-grass-landscaping-preview-ui3b,DELETE,preview-style name (generated site),21,False,
glen-ellyn-roofing-preview-c86y,https://github.com/nsheetzdesign/glen-ellyn-roofing-preview-c86y,DELETE,preview-style name (generated site),21,False,
glen-ellyn-roofing-preview-g77n,https://github.com/nsheetzdesign/glen-ellyn-roofing-preview-g77n,DELETE,preview-style name (generated site),3,False,
gonzalez-handy-man-services-preview-l2p6,https://github.com/nsheetzdesign/gonzalez-handy-man-services-preview-l2p6,DELETE,preview-style name (generated site),24,False,
gordon-s-electric-company-preview-kusn,https://github.com/nsheetzdesign/gordon-s-electric-company-preview-kusn,DELETE,preview-style name (generated site),0,False,
gordon-s-heating-and-cooling-preview-07to,https://github.com/nsheetzdesign/gordon-s-heating-and-cooling-preview-07to,DELETE,preview-style name (generated site),3,False,
gordons-electric-company-preview-c13m,https://github.com/nsheetzdesign/gordons-electric-company-preview-c13m,DELETE,preview-style name (generated site),21,False,
grove-automotive-preview-hti5,https://github.com/nsheetzdesign/grove-automotive-preview-hti5,DELETE,preview-style name (generated site),3,False,
grove-automotive-preview-qo84,https://github.com/nsheetzdesign/grove-automotive-preview-qo84,DELETE,preview-style name (generated site),21,False,
gto-automotive-preview-q5cw,https://github.com/nsheetzdesign/gto-automotive-preview-q5cw,DELETE,preview-style name (generated site),21,False,
gto-automotive-preview-v337,https://github.com/nsheetzdesign/gto-automotive-preview-v337,DELETE,preview-style name (generated site),0,False,
gus-auto-repair-preview-rkbz,https://github.com/nsheetzdesign/gus-auto-repair-preview-rkbz,DELETE,preview-style name (generated site),3,False,
gus-auto-repair-preview-wuo4,https://github.com/nsheetzdesign/gus-auto-repair-preview-wuo4,DELETE,preview-style name (generated site),21,False,
haas-decorating-preview-bcwx,https://github.com/nsheetzdesign/haas-decorating-preview-bcwx,DELETE,preview-style name (generated site),3,False,
haas-decorating-preview-rgjz,https://github.com/nsheetzdesign/haas-decorating-preview-rgjz,DELETE,preview-style name (generated site),21,False,
halsted-auto-repair-preview-vrlg,https://github.com/nsheetzdesign/halsted-auto-repair-preview-vrlg,DELETE,preview-style name (generated site),21,False,
